year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Paddy,1064,1034
2018-2019,Kharif,Warangal (Urban),Velair,Paddy,322,842
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Paddy,1951,2360
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Paddy,2751,3294
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Paddy,2911,3647
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Paddy,1545,1770
2018-2019,Kharif,Warangal (Urban),Khazipet,Paddy,434,1171
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Paddy,941,162
2018-2019,Kharif,Warangal (Urban),Warangal,Paddy,166,134
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Paddy,237,525
2018-2019,Kharif,Warangal (Urban),Inavole,Paddy,482,452
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Velair,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Khazipet,Jowar,1,0
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Warangal,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Inavole,Jowar,0,0
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Maize,1893,1902
2018-2019,Kharif,Warangal (Urban),Velair,Maize,480,1037
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Maize,635,720
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Maize,202,158
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Maize,649,416
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Maize,1956,1620
2018-2019,Kharif,Warangal (Urban),Khazipet,Maize,200,206
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Maize,794,15
2018-2019,Kharif,Warangal (Urban),Warangal,Maize,53,34
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Maize,167,213
2018-2019,Kharif,Warangal (Urban),Inavole,Maize,508,395
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Green Gram,9,5
2018-2019,Kharif,Warangal (Urban),Velair,Green Gram,4,7
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Green Gram,32,28
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Green Gram,6,2
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Green Gram,6,0
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Green Gram,33,14
2018-2019,Kharif,Warangal (Urban),Khazipet,Green Gram,13,14
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Green Gram,26,0
2018-2019,Kharif,Warangal (Urban),Warangal,Green Gram,3,0
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Green Gram,2,0
2018-2019,Kharif,Warangal (Urban),Inavole,Green Gram,17,0
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Black Gram,1,
2018-2019,Kharif,Warangal (Urban),Velair,Black Gram,0,
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Black Gram,0,
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Black Gram,1,
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Black Gram,15,
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Black Gram,0,
2018-2019,Kharif,Warangal (Urban),Khazipet,Black Gram,2,
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Black Gram,5,
2018-2019,Kharif,Warangal (Urban),Warangal,Black Gram,0,
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Black Gram,0,
2018-2019,Kharif,Warangal (Urban),Inavole,Black Gram,0,
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Red Gram,29,45
2018-2019,Kharif,Warangal (Urban),Velair,Red Gram,31,38
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Red Gram,76,35
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Red Gram,29,12
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Red Gram,22,23
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Red Gram,140,53
2018-2019,Kharif,Warangal (Urban),Khazipet,Red Gram,95,85
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Red Gram,30,0
2018-2019,Kharif,Warangal (Urban),Warangal,Red Gram,6,0
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Red Gram,22,10
2018-2019,Kharif,Warangal (Urban),Inavole,Red Gram,59,0
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Cow Gram,19,
2018-2019,Kharif,Warangal (Urban),Velair,Cow Gram,0,
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Cow Gram,5,
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Cow Gram,0,
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Cow Gram,0,
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Cow Gram,7,
2018-2019,Kharif,Warangal (Urban),Khazipet,Cow Gram,0,
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Cow Gram,2,
2018-2019,Kharif,Warangal (Urban),Warangal,Cow Gram,0,
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Cow Gram,0,
2018-2019,Kharif,Warangal (Urban),Inavole,Cow Gram,0,
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Chillies,3,0
2018-2019,Kharif,Warangal (Urban),Velair,Chillies,17,0
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Chillies,23,2
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Chillies,80,125
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Chillies,34,3
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Chillies,36,36
2018-2019,Kharif,Warangal (Urban),Khazipet,Chillies,1,0
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Chillies,8,0
2018-2019,Kharif,Warangal (Urban),Warangal,Chillies,0,0
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Chillies,7,11
2018-2019,Kharif,Warangal (Urban),Inavole,Chillies,2,15
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Turmeric,4,0
2018-2019,Kharif,Warangal (Urban),Velair,Turmeric,0,0
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Turmeric,57,84
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Turmeric,99,155
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Turmeric,90,106
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Turmeric,6,43
2018-2019,Kharif,Warangal (Urban),Khazipet,Turmeric,3,0
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Turmeric,18,0
2018-2019,Kharif,Warangal (Urban),Warangal,Turmeric,3,15
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Turmeric,16,14
2018-2019,Kharif,Warangal (Urban),Inavole,Turmeric,24,30
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Cotton,6897,7148
2018-2019,Kharif,Warangal (Urban),Velair,Cotton,1082,3460
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Cotton,4281,4125
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Cotton,5719,5245
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Cotton,3590,3224
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Cotton,4409,4660
2018-2019,Kharif,Warangal (Urban),Khazipet,Cotton,388,1124
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Cotton,1911,25
2018-2019,Kharif,Warangal (Urban),Warangal,Cotton,286,488
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Cotton,634,1114
2018-2019,Kharif,Warangal (Urban),Inavole,Cotton,1952,2226
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Groundnut,0,0
2018-2019,Kharif,Warangal (Urban),Velair,Groundnut,1,0
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Groundnut,0,0
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Groundnut,0,0
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Groundnut,2,0
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Groundnut,25,0
2018-2019,Kharif,Warangal (Urban),Khazipet,Groundnut,13,15
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Groundnut,20,0
2018-2019,Kharif,Warangal (Urban),Warangal,Groundnut,0,0
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Groundnut,7,3
2018-2019,Kharif,Warangal (Urban),Inavole,Groundnut,14,0
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Sesamum,0,
2018-2019,Kharif,Warangal (Urban),Velair,Sesamum,0,
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Sesamum,0,
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Sesamum,0,
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Sesamum,0,
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Sesamum,2,
2018-2019,Kharif,Warangal (Urban),Khazipet,Sesamum,0,
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Sesamum,2,
2018-2019,Kharif,Warangal (Urban),Warangal,Sesamum,0,
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Sesamum,1,
2018-2019,Kharif,Warangal (Urban),Inavole,Sesamum,2,
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Soyabean,2,0
2018-2019,Kharif,Warangal (Urban),Velair,Soyabean,2,0
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Soyabean,17,20
2018-2019,Kharif,Warangal (Urban),Kamalapoor,Soyabean,4,0
2018-2019,Kharif,Warangal (Urban),Hasanparthy,Soyabean,0,0
2018-2019,Kharif,Warangal (Urban),Dharamasagar,Soyabean,10,0
2018-2019,Kharif,Warangal (Urban),Khazipet,Soyabean,0,0
2018-2019,Kharif,Warangal (Urban),Hanamkonda,Soyabean,7,0
2018-2019,Kharif,Warangal (Urban),Warangal,Soyabean,0,0
2018-2019,Kharif,Warangal (Urban),Killa-warangal,Soyabean,2,0
2018-2019,Kharif,Warangal (Urban),Inavole,Soyabean,1,0
2018-2019,Kharif,Warangal (Urban),Bheemadevarapally,Total,9921,10134
2018-2019,Kharif,Warangal (Urban),Velair,Total,1939,5384
2018-2019,Kharif,Warangal (Urban),Elkathurthy,Total,7077,7374
