year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2016-2017,Rabi,Warangal (Urban),Bheemadevarapalle,Paddy,1570,1970
2016-2017,Rabi,Warangal (Urban),Velair,Paddy,,982
2016-2017,Rabi,Warangal (Urban),Elkathurthi,Paddy,2213.4,3651
2016-2017,Rabi,Warangal (Urban),Kamalapur,Paddy,1561.6,6431
2016-2017,Rabi,Warangal (Urban),Hasanparthy,Paddy,1432,4661
2016-2017,Rabi,Warangal (Urban),Dharmasagar,Paddy,1061.4,1654
2016-2017,Rabi,Warangal (Urban),Khazipet,Paddy,,840
2016-2017,Rabi,Warangal (Urban),Hanamkonda,Paddy,1038.2,443
2016-2017,Rabi,Warangal (Urban),Warangal,Paddy,91.6,93
2016-2017,Rabi,Warangal (Urban),Khilla_warangal,Paddy,,315
2016-2017,Rabi,Warangal (Urban),Inole,Paddy,693.1,1158
2016-2017,Rabi,Warangal (Urban),Bheemadevarapalle,Maize,1907.4,2497
2016-2017,Rabi,Warangal (Urban),Velair,Maize,,1238
2016-2017,Rabi,Warangal (Urban),Elkathurthi,Maize,2639.6,2184
2016-2017,Rabi,Warangal (Urban),Kamalapur,Maize,920,863
2016-2017,Rabi,Warangal (Urban),Hasanparthy,Maize,1062.8,1479
2016-2017,Rabi,Warangal (Urban),Dharmasagar,Maize,2029.2,2536
2016-2017,Rabi,Warangal (Urban),Khazipet,Maize,,414
2016-2017,Rabi,Warangal (Urban),Hanamkonda,Maize,962.4,21
2016-2017,Rabi,Warangal (Urban),Warangal,Maize,80.2,30
2016-2017,Rabi,Warangal (Urban),Khilla_warangal,Maize,,376
2016-2017,Rabi,Warangal (Urban),Inole,Maize,783.5,1183
2016-2017,Rabi,Warangal (Urban),Bheemadevarapalle,Green Gram,3,7
2016-2017,Rabi,Warangal (Urban),Velair,Green Gram,,10
2016-2017,Rabi,Warangal (Urban),Elkathurthi,Green Gram,53.4,15
2016-2017,Rabi,Warangal (Urban),Kamalapur,Green Gram,119,9
2016-2017,Rabi,Warangal (Urban),Hasanparthy,Green Gram,13.4,3
2016-2017,Rabi,Warangal (Urban),Dharmasagar,Green Gram,9,0
2016-2017,Rabi,Warangal (Urban),Khazipet,Green Gram,,0
2016-2017,Rabi,Warangal (Urban),Hanamkonda,Green Gram,25.4,0
2016-2017,Rabi,Warangal (Urban),Warangal,Green Gram,0,0
2016-2017,Rabi,Warangal (Urban),Khilla_warangal,Green Gram,,0
